age,gender,daily_gaming_hours,game_genre,primary_game,gaming_platform,sleep_hours,sleep_quality,sleep_disruption_frequency,academic_work_performance,grades_gpa,work_productivity_score,mood_state,mood_swing_frequency,withdrawal_symptoms,loss_of_other_interests,continued_despite_problems,eye_strain,back_neck_pain,weight_change_kg,exercise_hours_weekly,social_isolation_score,face_to_face_social_hours_weekly,monthly_game_spending_usd,years_gaming,gaming_addiction_risk_level
16,Male,1.5,FPS,CS:GO,Multi-platform,8.4,Good,Often,Good,3.04,,Restless,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,10.1,1,11,28.23,4,Low
14,Male,3,Strategy,StarCraft II,PC,7.2,Good,Sometimes,Excellent,3.15,,Normal,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,9.4,1,13.9,46.36,3,Low
28,Male,9.5,Mobile Games,Genshin Impact,Mobile,3.6,Very Poor,Never,Poor,,8,Withdrawn,Rarely,TRUE,FALSE,FALSE,TRUE,TRUE,2.2,5.1,5,1.6,482.71,7,High
22,Male,5.1,RPG,Skyrim,Mobile,5.3,Fair,Never,Average,3.25,6,Anxious,Rarely,FALSE,FALSE,FALSE,TRUE,FALSE,0.9,7.6,3,6.3,36.07,5,Low
21,Male,5.8,RPG,Elden Ring,Console,5.2,Good,Often,Good,2.54,2,Restless,Rarely,FALSE,FALSE,FALSE,FALSE,TRUE,1.2,8.2,3,9,104.01,2,Low
25,Male,7.3,Mobile Games,Clash of Clans,Console,5.6,Poor,Often,Poor,,5,Anxious,Never,TRUE,TRUE,FALSE,TRUE,TRUE,3.3,6.9,6,6.8,68.25,7,High
19,Male,3,Mobile Games,Genshin Impact,Console,7.4,Fair,Sometimes,Poor,1.64,3,Normal,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,6.7,3,13.1,1.63,9,Low
22,Female,11.3,MOBA,League of Legends,Multi-platform,4.6,Poor,Sometimes,Poor,1.89,8,Anxious,Often,TRUE,FALSE,FALSE,TRUE,TRUE,5.7,4.9,9,0.9,77.24,10,High
20,Male,8.4,FPS,Call of Duty,Mobile,3.2,Very Poor,Always,Average,2.76,2,Angry,Sometimes,TRUE,TRUE,TRUE,TRUE,FALSE,0.4,7.1,7,8.1,118.79,6,Severe
20,Male,9.4,Battle Royale,Warzone,Console,5.5,Poor,Sometimes,Below Average,2.14,7,Anxious,Rarely,TRUE,TRUE,FALSE,FALSE,TRUE,1.7,4.8,7,2.2,120.16,1,Severe
22,Male,6.5,RPG,Cyberpunk 2077,Console,4.4,Poor,Always,Below Average,2.91,3,Normal,Never,FALSE,TRUE,FALSE,TRUE,FALSE,3.4,6.4,6,9.1,16.99,12,Moderate
16,Female,6.1,MOBA,League of Legends,Console,5.3,Fair,Sometimes,Good,1.12,,Anxious,Often,FALSE,TRUE,FALSE,FALSE,TRUE,1.8,5.8,1,9.3,53.52,4,Moderate
14,Female,6.3,RPG,Skyrim,Mobile,6.5,Good,Rarely,Average,3.27,,Anxious,Never,FALSE,TRUE,FALSE,TRUE,FALSE,0.2,7.5,4,4.8,126.54,4,Moderate
19,Female,8.9,Battle Royale,PUBG,Console,5.7,Very Poor,Never,Average,2.63,8,Irritable,Rarely,TRUE,FALSE,FALSE,TRUE,TRUE,1.9,5.7,5,5.2,66.37,6,High
22,Male,5.2,Mobile Games,Candy Crush,PC,7,Fair,Rarely,Good,1.94,1,Depressed,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,1.7,6.2,2,11.2,60.06,11,Low
22,Male,3.4,Mobile Games,Candy Crush,Console,8.7,Good,Always,Average,3.41,9,Normal,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,1.1,7.8,3,10.3,37.26,9,Low
18,Male,5.9,Battle Royale,Apex Legends,Multi-platform,6.6,Fair,Always,Below Average,3.91,,Anxious,Often,FALSE,FALSE,FALSE,TRUE,TRUE,0.9,8,3,6.8,55.47,7,Low
18,Male,8.2,MMO,Final Fantasy XIV,Mobile,5.4,Fair,Always,Poor,3.71,,Anxious,Rarely,FALSE,TRUE,FALSE,TRUE,TRUE,3.2,6.5,5,3.3,57.15,8,Moderate
21,Male,1.2,MMO,World of Warcraft,Mobile,7.1,Good,Always,Good,2.31,9,Depressed,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,8.6,2,16.7,34.91,6,Low
19,Female,4.7,RPG,Skyrim,Multi-platform,5.8,Fair,Rarely,Average,1.62,4,Irritable,Sometimes,FALSE,FALSE,FALSE,TRUE,FALSE,0.5,5.6,3,10,126.85,8,Low
20,Male,1,RPG,Cyberpunk 2077,Mobile,7.3,Good,Sometimes,Average,1.21,5,Normal,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0,8.9,1,14.4,21.09,6,Low
17,Male,5.1,Mobile Games,Clash of Clans,Mobile,6.4,Poor,Always,Average,3.02,,Restless,Often,FALSE,FALSE,FALSE,FALSE,FALSE,2.2,8.9,2,8.3,36.53,5,Low
20,Male,5.9,MMO,Final Fantasy XIV,Console,6.8,Fair,Rarely,Poor,3.39,6,Anxious,Never,FALSE,FALSE,FALSE,FALSE,TRUE,0.3,7.5,3,7.1,147.6,7,Low
20,Male,5.2,Battle Royale,PUBG,Console,5.6,Very Poor,Often,Average,3.03,8,Angry,Rarely,FALSE,FALSE,FALSE,TRUE,FALSE,1.4,7.9,5,8.7,19.91,7,Low
18,Male,6.6,FPS,CS:GO,Console,4.1,Insomnia,Often,Poor,3.98,,Anxious,Sometimes,TRUE,TRUE,FALSE,FALSE,FALSE,0.1,5.5,5,8.4,93.68,2,High
22,Female,4.6,Mobile Games,PUBG Mobile,PC,5.4,Poor,Never,Average,1.15,6,Angry,Sometimes,FALSE,FALSE,FALSE,TRUE,FALSE,1.6,8.4,4,8.3,80.92,12,Low
20,Male,2.8,MOBA,Mobile Legends,Mobile,8.3,Fair,Never,Excellent,3.54,9,Excited,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,8.3,3,14.3,45.96,9,Low
20,Male,7.6,Strategy,StarCraft II,Mobile,4.2,Very Poor,Never,Poor,2.7,9,Restless,Never,FALSE,TRUE,FALSE,TRUE,TRUE,3.6,5.2,6,2.6,123.45,2,Moderate
16,Female,2.3,MOBA,League of Legends,Mobile,8.4,Good,Often,Average,1.22,,Anxious,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,7.2,2,12.3,42.43,4,Low
20,Male,4.4,RPG,Elden Ring,Mobile,6.4,Fair,Often,Excellent,1.38,2,Restless,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,9.1,4,8.5,26.63,2,Low
33,Male,3.1,MMO,Elder Scrolls Online,Multi-platform,8.4,Fair,Never,Average,,8,Normal,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,8.3,1,12.8,47.69,6,Low
16,Male,8,FPS,Valorant,Mobile,3.8,Poor,Sometimes,Failing,3.22,,Irritable,Sometimes,TRUE,TRUE,TRUE,TRUE,TRUE,0.9,6,8,6.3,61.37,1,Severe
20,Male,4.2,Strategy,StarCraft II,Mobile,5.4,Good,Sometimes,Average,2.21,7,Normal,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,7.1,1,8.8,9.18,1,Low
20,Male,7.9,Battle Royale,PUBG,Console,3.5,Poor,Never,Below Average,2.25,3,Angry,Rarely,TRUE,FALSE,TRUE,FALSE,TRUE,3.3,7,6,4.2,81.23,4,High
14,Female,3.9,Mobile Games,PUBG Mobile,Mobile,5.1,Poor,Sometimes,Good,2.88,,Euphoric,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,1.2,7.8,2,7.5,17.43,3,Low
26,Female,6.2,Strategy,Age of Empires,Multi-platform,5.7,Fair,Never,Average,,5,Depressed,Daily,FALSE,TRUE,FALSE,TRUE,TRUE,0.4,5.5,3,4.9,48.84,8,Moderate
20,Male,3.4,MMO,Final Fantasy XIV,PC,7.1,Poor,Sometimes,Below Average,1.19,7,Normal,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,7.8,1,12.9,23.33,8,Low
29,Female,6.1,FPS,Call of Duty,Mobile,6.7,Poor,Often,Good,,5,Restless,Daily,FALSE,TRUE,FALSE,TRUE,TRUE,0.8,7.7,2,10.7,110.74,14,Moderate
16,Female,5.9,RPG,Skyrim,Console,5.4,Fair,Often,Average,2.11,,Depressed,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.7,6,3,7.6,125.89,2,Low
15,Female,5.1,MMO,World of Warcraft,PC,6.5,Poor,Never,Below Average,3.87,,Angry,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,6.2,2,8.8,39.9,1,Low
24,Male,7,Strategy,Age of Empires,Console,4.7,Very Poor,Sometimes,Poor,,5,Angry,Often,TRUE,FALSE,FALSE,FALSE,FALSE,0.5,8,4,8.8,132.68,1,Moderate
20,Male,3.5,RPG,Skyrim,Mobile,7.8,Good,Never,Good,1.39,3,Normal,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,9.8,2,10.7,40.35,4,Low
20,Male,11.4,FPS,Call of Duty,Console,4.3,Very Poor,Never,Failing,2.02,5,Anxious,Never,TRUE,FALSE,FALSE,TRUE,TRUE,0.3,5,6,0.2,433.8,9,High
20,Female,0.5,Mobile Games,Genshin Impact,Multi-platform,7.2,Good,Sometimes,Excellent,3.39,4,Depressed,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,10,1,13.9,9.04,5,Low
22,Female,5.8,FPS,CS:GO,PC,6.7,Good,Rarely,Average,2.3,3,Euphoric,Sometimes,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,6.4,3,10.5,114.52,5,Low
19,Male,1.7,MOBA,Mobile Legends,Mobile,8.1,Good,Sometimes,Excellent,1.41,9,Normal,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0,9.3,1,12.6,47.53,5,Low
24,Male,6,Strategy,StarCraft II,Console,6.9,Good,Always,Good,,10,Euphoric,Sometimes,FALSE,TRUE,FALSE,FALSE,TRUE,0.1,8.2,4,9.3,133.31,3,Moderate
25,Male,7.1,RPG,Elden Ring,Console,5.2,Poor,Sometimes,Average,,1,Anxious,Sometimes,TRUE,FALSE,FALSE,FALSE,TRUE,4.3,7.2,4,6.6,136.21,8,Moderate
23,Male,0.6,Battle Royale,Warzone,Mobile,7.2,Good,Rarely,Good,,4,Excited,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,0,8.8,1,11.1,39.51,10,Low
33,Female,7.2,Mobile Games,PUBG Mobile,Multi-platform,4.2,Fair,Rarely,Below Average,,9,Anxious,Often,FALSE,FALSE,FALSE,TRUE,TRUE,0.7,7.6,5,9,96.57,8,Low
22,Female,5.6,FPS,Call of Duty,Console,5.3,Good,Never,Average,2.08,4,Normal,Sometimes,FALSE,TRUE,FALSE,FALSE,TRUE,0.7,7.7,3,9.7,144.26,10,Moderate
13,Male,8.9,RPG,Cyberpunk 2077,Mobile,4.2,Very Poor,Sometimes,Below Average,3.91,,Restless,Never,TRUE,TRUE,FALSE,TRUE,TRUE,2.1,3.6,5,2.3,417.13,3,Severe
16,Other,12.4,MOBA,Mobile Legends,PC,4.7,Insomnia,Often,Below Average,2,,Irritable,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,0.2,4.3,7,0.6,359.05,6,High
19,Female,6.6,FPS,Valorant,Mobile,3.3,Very Poor,Often,Below Average,3.09,10,Irritable,Sometimes,TRUE,TRUE,FALSE,TRUE,TRUE,2.3,8,4,9.5,144.41,9,High
26,Female,4.9,Strategy,StarCraft II,Mobile,5.7,Fair,Often,Poor,,5,Irritable,Rarely,FALSE,FALSE,FALSE,TRUE,FALSE,1.2,8.8,3,9.5,60.06,10,Low
18,Male,4.4,Mobile Games,Candy Crush,PC,6.6,Poor,Often,Below Average,1.4,,Normal,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0,8.3,1,11.3,45.33,5,Low
23,Female,4.7,RPG,Skyrim,Multi-platform,5.1,Good,Sometimes,Average,,8,Angry,Never,FALSE,FALSE,FALSE,TRUE,FALSE,1.2,7,4,10.7,108,8,Low
22,Male,7,MMO,Elder Scrolls Online,Multi-platform,4,Very Poor,Sometimes,Poor,3.54,2,Irritable,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,1,5.8,5,5.3,119.22,4,Moderate
20,Female,6.2,Mobile Games,Genshin Impact,Console,5.8,Very Poor,Never,Average,3.51,2,Irritable,Rarely,FALSE,TRUE,FALSE,TRUE,TRUE,3.3,6.7,5,9.6,42.1,8,Moderate
18,Female,15.1,MMO,World of Warcraft,PC,4.8,Fair,Often,Below Average,3.05,,Restless,Often,TRUE,FALSE,FALSE,TRUE,TRUE,0,4.2,10,0,209.75,6,High
25,Male,4.8,MMO,Elder Scrolls Online,Multi-platform,6.8,Fair,Never,Average,,7,Euphoric,Never,FALSE,FALSE,FALSE,FALSE,FALSE,1.6,5.8,2,10,132.26,11,Low
23,Male,2.6,Mobile Games,Clash of Clans,Console,8.8,Fair,Never,Good,,5,Excited,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,8.9,1,11.2,7.76,3,Low
17,Female,4,Mobile Games,Genshin Impact,Multi-platform,5.8,Fair,Sometimes,Good,3.1,,Angry,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,3.3,6.3,2,7.4,18.88,1,Low
20,Male,5,MMO,Final Fantasy XIV,Console,6.9,Poor,Sometimes,Excellent,1.55,9,Normal,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,7.7,4,6.8,85.67,8,Low
19,Male,3.5,Battle Royale,PUBG,Multi-platform,8,Good,Often,Average,1.87,4,Excited,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,6.7,2,11.4,39.95,3,Low
33,Male,5.2,Battle Royale,Apex Legends,Multi-platform,6.9,Fair,Often,Good,,3,Euphoric,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,2,9,6,6.9,73.02,8,Low
17,Male,9.4,Strategy,Civilization VI,PC,3.1,Poor,Often,Poor,1.01,,Depressed,Never,TRUE,FALSE,TRUE,TRUE,TRUE,1.3,4.7,6,1.8,364.97,1,Severe
16,Female,5.7,MOBA,League of Legends,Multi-platform,6.8,Poor,Sometimes,Average,2.48,,Restless,Sometimes,FALSE,FALSE,FALSE,TRUE,TRUE,1.5,8.4,4,8.5,136.3,2,Low
19,Other,8.3,MOBA,League of Legends,PC,5.5,Poor,Always,Average,1.17,8,Irritable,Never,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,7,3.9,82.29,6,Moderate
16,Female,9,Mobile Games,Genshin Impact,Mobile,5.8,Poor,Never,Poor,2.32,,Restless,Often,TRUE,FALSE,TRUE,TRUE,TRUE,3.7,3.8,5,6,192.38,1,Severe
22,Female,7.2,Mobile Games,Genshin Impact,Multi-platform,3.6,Very Poor,Rarely,Poor,1.98,1,Irritable,Daily,TRUE,FALSE,FALSE,TRUE,FALSE,1.7,6.5,4,8,32.86,11,Moderate
17,Female,10.8,MMO,World of Warcraft,Multi-platform,5,Fair,Rarely,Poor,3.56,,Anxious,Often,TRUE,FALSE,TRUE,TRUE,TRUE,0.4,2.9,7,0.8,462.43,3,Severe
18,Male,9.3,RPG,Elden Ring,Multi-platform,5.5,Insomnia,Rarely,Poor,1.42,,Irritable,Sometimes,TRUE,FALSE,FALSE,FALSE,TRUE,0.9,6.3,6,1.5,404.23,2,High
20,Male,6.4,RPG,Elden Ring,Multi-platform,6.8,Fair,Rarely,Average,2.95,8,Normal,Never,FALSE,TRUE,FALSE,FALSE,TRUE,1.5,7.6,5,7.5,91.02,8,Moderate
26,Male,1.1,Mobile Games,PUBG Mobile,Multi-platform,7.6,Good,Sometimes,Good,,5,Normal,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,9.5,1,15.5,24.99,10,Low
22,Male,3,Battle Royale,Warzone,Mobile,8.8,Poor,Rarely,Good,2.4,5,Normal,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,1.1,7.1,2,8.5,34.92,11,Low
14,Male,7.5,MMO,Final Fantasy XIV,Multi-platform,4.8,Fair,Never,Poor,1.29,,Angry,Often,TRUE,TRUE,FALSE,TRUE,FALSE,0.7,7.9,5,6.6,123.8,3,High
17,Male,6.1,FPS,Call of Duty,PC,6.7,Fair,Often,Average,3.06,,Normal,Sometimes,FALSE,TRUE,FALSE,TRUE,TRUE,1.8,5.6,4,9.8,71.69,1,Moderate
18,Female,5.9,Strategy,StarCraft II,PC,6.5,Poor,Rarely,Average,2.46,,Normal,Never,FALSE,TRUE,FALSE,TRUE,FALSE,0.4,7.4,4,4.9,96.37,4,Moderate
22,Female,8.1,Mobile Games,Candy Crush,Mobile,3.1,Fair,Sometimes,Failing,3.21,6,Anxious,Sometimes,FALSE,TRUE,FALSE,TRUE,FALSE,0.3,6.8,5,5.1,67.48,1,Moderate
20,Male,10.3,MMO,World of Warcraft,PC,5.8,Poor,Rarely,Below Average,1.5,1,Angry,Sometimes,FALSE,FALSE,FALSE,FALSE,TRUE,4.5,3.6,8,1.6,499.27,4,Moderate
17,Female,8.9,Strategy,Civilization VI,PC,5.9,Fair,Never,Good,3.26,,Restless,Never,TRUE,FALSE,FALSE,TRUE,TRUE,5.7,5.3,5,2.7,254.42,5,High
26,Female,5.9,Mobile Games,Clash of Clans,Console,6.1,Good,Always,Good,,10,Excited,Sometimes,FALSE,TRUE,FALSE,FALSE,FALSE,0.5,5.2,5,8.4,83.67,14,Moderate
21,Female,4.9,Strategy,StarCraft II,Mobile,6.1,Fair,Always,Failing,3.53,5,Withdrawn,Rarely,FALSE,FALSE,FALSE,TRUE,FALSE,0.3,9.1,2,7.6,56.37,8,Low
22,Male,1.7,RPG,Skyrim,Console,7.3,Fair,Rarely,Average,1.41,7,Normal,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,10.8,1,14.1,24.1,5,Low
19,Male,7,Mobile Games,Candy Crush,Mobile,4.9,Poor,Often,Failing,3.92,4,Restless,Daily,TRUE,TRUE,FALSE,TRUE,TRUE,0.4,4.6,6,8.8,115.12,1,High
19,Male,3.2,MOBA,Mobile Legends,Mobile,7.3,Fair,Often,Average,2.05,9,Restless,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,9.1,2,14.4,15.77,1,Low
23,Male,10.4,RPG,Cyberpunk 2077,Mobile,5.6,Poor,Often,Poor,,10,Anxious,Rarely,FALSE,TRUE,TRUE,FALSE,FALSE,4.1,3.7,5,3.9,197.03,5,Severe
31,Male,5.1,MOBA,Mobile Legends,PC,6.5,Fair,Often,Average,,1,Angry,Often,FALSE,FALSE,FALSE,TRUE,FALSE,0.9,7.4,2,10.9,72.27,12,Low
27,Female,6.3,Mobile Games,Candy Crush,PC,6.3,Very Poor,Often,Average,,10,Depressed,Daily,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,8,2,10.2,21.12,2,Low
21,Male,5.4,FPS,Valorant,PC,6.6,Fair,Rarely,Failing,3.51,4,Normal,Rarely,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,5.7,1,11.2,33.12,11,Low
19,Male,6.1,RPG,Elden Ring,Console,5.5,Good,Always,Average,3.22,7,Normal,Rarely,FALSE,FALSE,FALSE,TRUE,FALSE,0.6,8.1,5,7.9,110.19,3,Low
19,Female,7.1,MMO,Elder Scrolls Online,PC,5,Poor,Rarely,Good,2.66,1,Irritable,Sometimes,TRUE,TRUE,FALSE,FALSE,TRUE,0.1,5.3,4,6,112.86,8,High
19,Female,8,RPG,Elden Ring,PC,3.4,Very Poor,Never,Poor,2.53,6,Restless,Often,TRUE,TRUE,FALSE,TRUE,TRUE,0,6.6,4,2.6,26.81,3,High
21,Female,4.8,Battle Royale,Warzone,Mobile,6.6,Fair,Often,Below Average,1.08,5,Excited,Rarely,FALSE,FALSE,FALSE,FALSE,FALSE,3.6,6.1,2,10.9,48.19,1,Low
17,Female,9.8,Battle Royale,Warzone,PC,5,Very Poor,Always,Poor,3.66,,Anxious,Daily,TRUE,TRUE,FALSE,FALSE,FALSE,5.2,6.8,7,3.4,114.88,7,Severe
14,Female,2.9,FPS,Valorant,Mobile,7.9,Good,Never,Excellent,1.37,,Depressed,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,9.4,3,8.7,24.6,3,Low
19,Female,6.8,Battle Royale,PUBG,Multi-platform,3.7,Poor,Never,Failing,2.96,7,Angry,Rarely,TRUE,FALSE,FALSE,TRUE,TRUE,1.9,6.4,4,4.7,127,9,Moderate
19,Male,4.6,Battle Royale,Fortnite,Console,5.3,Fair,Sometimes,Excellent,2.21,4,Irritable,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,6.8,2,11.3,85.23,8,Low
26,Male,12,RPG,Cyberpunk 2077,PC,4.4,Poor,Never,Failing,,2,Irritable,Sometimes,TRUE,FALSE,TRUE,TRUE,TRUE,1.8,5.2,9,2.5,326.96,15,Severe
16,Female,5.4,Battle Royale,Fortnite,PC,6.7,Good,Rarely,Below Average,2.85,,Normal,Rarely,FALSE,FALSE,FALSE,TRUE,FALSE,0.4,7.9,3,11,147.65,3,Low
31,Female,5.5,MOBA,League of Legends,PC,6.8,Fair,Rarely,Good,,8,Normal,Never,FALSE,TRUE,FALSE,TRUE,TRUE,3.3,6.4,4,10.2,126.15,20,Moderate
16,Male,3.6,Strategy,Age of Empires,Multi-platform,6.9,Fair,Often,Below Average,3.82,,Irritable,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.2,9.9,1,9.6,40.4,5,Low
20,Female,9.2,Mobile Games,Genshin Impact,Multi-platform,5.8,Very Poor,Often,Below Average,2.98,6,Withdrawn,Daily,TRUE,FALSE,FALSE,TRUE,TRUE,0.3,7,6,3.6,177.45,5,High
23,Male,3.2,Mobile Games,Genshin Impact,Console,8.4,Fair,Rarely,Excellent,,9,Normal,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,10,3,11.7,49.01,5,Low
22,Female,8.4,MMO,World of Warcraft,Mobile,4.2,Very Poor,Always,Failing,2.57,3,Irritable,Never,FALSE,TRUE,TRUE,TRUE,FALSE,1.3,5.6,6,3.4,82.28,8,High
15,Male,13,Battle Royale,Apex Legends,Multi-platform,5.4,Very Poor,Sometimes,Below Average,2.6,,Depressed,Sometimes,FALSE,TRUE,TRUE,FALSE,TRUE,3.4,4,9,0.9,224.87,3,Severe
15,Male,5.7,RPG,Skyrim,Console,5.5,Poor,Never,Below Average,1.32,,Anxious,Daily,FALSE,TRUE,FALSE,TRUE,TRUE,3,7.7,4,9.1,61.16,1,Moderate
16,Other,0.9,MMO,World of Warcraft,Mobile,8,Fair,Sometimes,Good,1.75,,Withdrawn,Sometimes,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,10.8,1,15.2,35.37,1,Low
19,Male,4.8,Mobile Games,Clash of Clans,Console,6.3,Poor,Sometimes,Average,2.86,6,Normal,Often,FALSE,FALSE,FALSE,TRUE,FALSE,3,6.9,4,9.9,29.59,1,Low
23,Male,11.8,Battle Royale,Fortnite,PC,3.8,Very Poor,Often,Poor,,6,Euphoric,Sometimes,TRUE,FALSE,FALSE,TRUE,TRUE,6.1,5.4,8,2.5,391.88,1,High
17,Male,6,FPS,Overwatch,Mobile,6.7,Poor,Sometimes,Excellent,3.71,,Angry,Often,FALSE,TRUE,FALSE,TRUE,TRUE,2.2,7.6,5,10.4,147.47,7,Moderate
18,Male,2.6,MOBA,Mobile Legends,Multi-platform,7.3,Fair,Often,Good,1.1,,Normal,Never,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,7.8,2,12.6,37.3,1,Low
14,Female,7.7,RPG,Skyrim,Multi-platform,5.6,Poor,Never,Poor,1.96,,Restless,Never,TRUE,TRUE,FALSE,TRUE,TRUE,3.8,6.5,5,8.1,25.58,2,High
20,Female,10,MMO,Final Fantasy XIV,Console,5.5,Good,Always,Poor,2.19,4,Withdrawn,Sometimes,TRUE,FALSE,TRUE,FALSE,FALSE,4.4,3.6,6,2,358.72,5,Severe
19,Male,5,Mobile Games,Clash of Clans,Multi-platform,6.7,Poor,Always,Good,1.11,10,Normal,Sometimes,FALSE,FALSE,FALSE,TRUE,FALSE,1.5,8.9,3,11.8,143.86,9,Low
22,Male,5.6,Battle Royale,Warzone,Console,5.1,Poor,Rarely,Below Average,1.69,4,Anxious,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,4.4,8.3,5,5.7,44.63,1,Low
19,Female,4.3,MMO,World of Warcraft,Console,6.7,Very Poor,Sometimes,Average,3.31,8,Normal,Never,FALSE,FALSE,FALSE,FALSE,FALSE,1.5,9.6,2,13,48,6,Low
35,Male,3.1,MOBA,League of Legends,Console,7.6,Good,Always,Below Average,,9,Excited,Daily,FALSE,FALSE,FALSE,FALSE,FALSE,1.8,7.8,3,8.7,27.92,15,Low
18,Female,3.6,Mobile Games,Clash of Clans,Console,6.3,Fair,Never,Below Average,1.74,,Depressed,Often,FALSE,FALSE,FALSE,FALSE,FALSE,0.7,6,2,8.7,13.53,3,Low
20,Female,6.9,RPG,Cyberpunk 2077,Multi-platform,4.9,Good,Often,Good,3.11,10,Anxious,Daily,FALSE,FALSE,FALSE,TRUE,TRUE,1,6.9,4,6.5,22.1,10,Low
