age,annual_income,education_years,work_experience_years,credit_score,loan_amount,loan_duration_months,interest_rate,debt_to_income_ratio,monthly_expenses,savings_balance,investment_balance,number_of_dependents,employment_stability_years,housing_status_score,marital_status_score,health_risk_index,insurance_coverage_score,spending_score,online_activity_score,device_usage_hours,location_risk_index,previous_default_count,financial_literacy_score,loan_default
31,65825.17504,11,20,772.8081163,18420.05923,12,5.482238339,0.6219796643,4052.574708,1809.819573,38567.37079,1,22,2,2,0.4136559862,4,2,60,10.66027002,0.4955252799,1,81,0
40,74820.19582,14,23,682.351797,57621.33613,60,4.406007664,0.7030128813,1803.239758,24167.64524,39493.27723,5,21,4,1,0.4788819731,4,31,33,0.6287077735,0.1686885611,1,56,0
39,81184.75512,9,13,723.6717505,25042.56752,12,10.63484991,0.8682827482,2789.39053,22359.8627,41601.68127,5,13,2,2,0.6546108206,3,23,97,1.603241387,6.82E-05,0,54,0
53,88331.93024,9,7,729.7828876,25139.12051,60,9.430299882,0.607583289,1820.311697,15369.61913,19260.80707,4,25,3,3,0.4081036655,5,61,30,11.99600068,0.7760089409,1,79,0
37,74762.31647,17,23,660.48143,34209.43542,36,4.639569395,0.7588305628,3191.457572,12341.98796,28475.34566,3,11,3,2,0.719447649,4,96,96,7.277055126,0.542775703,0,48,0
26,42375.97824,17,25,659.609714,28166.67958,12,8.956516162,0.8565603889,2177.126735,20887.24213,38079.11376,1,23,5,2,0.7565360601,5,28,46,4.709911256,0.7442100203,0,99,0
53,37619.80169,17,31,646.8296176,14062.99806,24,3.186298259,0.1370620981,2216.236541,20134.60287,29903.48634,5,17,4,2,0.7936614158,5,38,11,4.303706634,0.127563402,1,26,0
51,68426.32697,16,13,620.2572494,21325.40835,36,8.580490587,0.2225850713,2064.651175,19985.85248,25635.9974,5,25,4,3,0.07441173551,3,20,61,1.779140422,0.8135383336,0,56,0
32,50945.65103,11,17,661.1017306,8129.044827,48,11.71403174,0.3705697993,2804.350251,12646.67109,7592.444043,2,11,3,3,0.7906719876,3,100,16,4.500538889,0.3032309748,1,26,0
49,55644.25786,10,5,607.0671082,32870.46951,12,17.53454273,0.05591897724,2107.750978,12353.05899,20314.62158,5,23,3,2,0.7003930645,1,8,100,5.291902596,0.9188404236,0,28,0
22,78683.35996,11,14,621.0057507,29068.05662,24,12.02975944,0.816433344,2915.144627,19676.85395,32388.5027,5,29,1,1,0.5592474354,1,16,88,2.824204092,0.9964777692,1,20,0
56,70080.40234,17,34,639.7360809,51975.7529,48,13.9034754,0.1578995563,3057.816362,39713.54028,24542.16643,0,5,1,2,0.1661088995,3,73,56,0.5594851517,0.7995145469,0,78,0
46,85842.6894,15,30,727.9000071,36855.06339,12,9.582388276,0.8592490741,1525.286034,2825.568,7545.825578,2,12,3,2,0.599056612,4,37,2,11.45239052,0.2511287147,0,90,0
40,63191.80609,11,6,662.2324146,10195.51423,60,9.026732841,0.2678524696,1504.066872,0,25146.19729,1,6,1,2,0.8252719365,3,55,65,3.665896594,0.2575412686,0,38,0
52,71194.80649,12,19,700.8378003,18300.18898,24,5.432401879,0.7744531971,2605.590688,9299.211943,0,3,2,5,1,0.1649693345,3,43,53,8.181303957,0.587276296,1,73,0
18,31808.42584,14,3,675.0283785,29440.24271,36,5.394528957,0.7496847766,2845.443981,1687.375253,12209.64123,3,1,5,2,0.1028624568,5,51,32,7.328065804,0.2867283393,2,25,0
50,65455.29776,14,23,693.2807283,40284.64793,12,16.83406594,0.4055987948,2989.542425,18206.44076,19503.31039,5,28,3,1,0.9024883052,5,12,51,5.134507735,0.03970917696,0,41,0
62,64302.31505,10,35,667.9352024,34902.68968,48,7.141606739,0.6007739567,1776.109984,20194.85258,13860.91265,1,28,5,1,0.6995072421,5,25,48,9.231869927,0.5293277158,0,37,0
26,55650.07313,17,14,713.7234952,1000,12,6.065378431,0.6926150118,2421.003327,8416.275909,30817.64686,4,0,5,3,0.6750193039,2,47,98,2.551627059,0.5381782402,0,16,0
34,51135.00787,14,3,656.6408755,21915.38675,48,7.752974326,0.2443212313,2568.037781,15393.38502,10350.09923,0,15,4,1,0.8586677922,5,65,22,8.380634804,0.5358124929,1,89,0
43,65721.38112,12,9,487.6465184,24589.96983,36,17.78182633,0.8899024278,2672.187648,11206.25504,18283.35906,4,9,1,2,0.6404516371,3,15,44,7.819610545,0.9254638548,0,85,0
40,32155.97579,13,6,739.8944087,21418.07826,36,12.36598196,0.09087241835,2602.751966,19809.32059,22696.0366,3,29,4,1,0.935475296,4,58,72,1.376952608,0.6377992969,1,10,0
61,48599.09384,15,15,628.0763154,10771.09566,36,17.14402476,0.8513985237,3039.069327,25976.89537,0,3,14,2,1,0.199278821,3,82,43,7.39792366,0.4444270742,0,58,0
43,86276.78978,8,28,761.7289355,4106.674428,48,4.291357518,0.136299467,2913.713415,15352.87548,24762.6474,3,8,4,2,0.5701814015,2,91,64,9.544685614,0.7489364222,0,53,0
51,54082.51244,14,38,729.0104271,41781.03722,12,11.25877659,0.354209156,2686.326424,16041.36715,9204.848052,1,2,3,2,0.7053466821,2,49,47,2.876992539,0.2891930023,1,61,0
22,68196.61833,14,28,556.1966927,26859.19199,60,8.806512519,0.8493893581,300,23483.13689,25584.87878,2,25,4,3,0.895850458,4,28,40,11.44568038,0.7456944457,0,51,0
28,60518.81605,14,16,695.9145195,22208.17549,36,11.98193883,0.1474251435,2519.086404,25692.73456,9312.32058,5,2,3,3,0.2347929099,3,23,62,11.37832335,0.291584918,2,45,0
35,28138.43989,11,34,715.4104871,43256.86427,24,7.148495586,0.8808475205,1427.586826,21585.55575,45428.90882,3,9,5,1,0.08801880657,1,67,20,6.69915534,0.2892990719,0,51,0
39,77048.39314,13,17,748.6978804,22683.83632,12,4.794872787,0.4592423959,3321.854937,4362.637067,8476.907191,5,0,3,1,0.6056803666,5,94,33,11.11634478,0.3025777173,0,17,0
38,58748.81768,9,11,654.8525001,49044.59544,48,8.745160384,0.6812287618,2601.859203,22388.31541,0,0,22,3,1,0.003008566376,3,15,7,9.363387929,0.5431246007,0,39,0
24,70770.46416,17,8,612.395097,16069.00032,36,11.57775919,0.5086278809,1602.124845,0,19551.79165,3,15,1,1,0.7727741426,1,99,32,6.630093316,0.3971914363,0,1,0
45,72988.09873,13,9,666.9099644,18010.08236,36,11.52458557,0.2896252272,2165.615609,5306.863174,33653.13551,2,14,3,3,0.7853526088,4,98,76,4.467619949,0.4065021853,0,2,0
28,53993.81038,19,10,762.8155735,17031.99886,24,13.21279931,0.544421228,2885.620442,0,0,1,5,2,2,0.8880303518,4,88,41,9.584242797,0.7673810137,1,19,0
27,60050.95268,19,10,587.260257,33265.58405,60,6.73844299,0.3889960176,2681.366675,21630.1271,20413.33868,4,29,2,2,0.843992623,5,46,100,5.744232406,0.6808339093,0,9,0
41,60746.07166,14,30,598.5141029,27585.0466,24,10.24427352,0.4356326959,1495.974637,9836.721526,4919.432398,4,17,1,1,0.1979848834,4,84,97,8.403099319,0.4229697822,0,46,0
50,80566.65449,13,36,557.1233233,15507.80514,48,16.28751767,0.5853162951,2715.087094,18179.32995,13399.02919,5,27,3,3,0.3865839404,4,21,96,3.207341478,0.2205191026,1,100,0
57,87372.2265,13,33,689.8982109,26696.45287,12,12.67007179,0.05926585764,3342.683744,12800.88588,0,5,24,5,2,0.2961288107,5,36,7,9.588340636,0.3278064113,0,68,0
18,72445.38291,9,30,736.9043814,34806.24452,12,7.455964012,0.05862534899,1687.012763,18348.71037,20157.77837,4,5,4,1,0.5152234281,1,7,7,4.708536584,0.6088123476,0,23,0
26,44837.68383,15,39,596.5370143,11436.44324,48,14.27270634,0.6133724514,2713.846129,16555.17921,12634.18564,2,0,3,1,0.7529130862,4,34,20,3.991973116,0.2661569559,2,11,0
44,51520.5566,19,0,668.1069523,23339.83202,36,15.60282033,0.7335674119,1906.491877,17470.46968,17880.64878,3,9,5,2,0.7165545154,5,52,79,8.070590284,0.1697974146,0,11,0
57,76063.71844,17,3,716.2336896,26446.94713,12,11.10240883,0.06341180674,3827.116581,8624.941444,32025.44582,4,17,2,1,0.6027300383,4,42,3,10.87325558,0.21230282,1,9,0
23,49677.75127,12,11,641.8350167,34666.91422,48,10.29530163,0.274007457,3632.421177,19231.4475,17164.68603,3,11,3,1,0.1956721129,4,62,27,7.85328428,0.823095398,0,69,0
47,66448.2986,16,26,755.4502691,33734.96392,24,7.785335683,0.2146805092,784.4053002,10298.32426,30962.18338,4,9,2,2,0.3424007498,4,8,20,1.233993426,0.754824698,0,2,0
24,56564.52808,11,38,724.9332897,37801.2,36,15.23673819,0.7545195157,1883.916577,9764.127705,0,5,7,3,2,0.9051639291,4,37,80,11.77028007,0.2130293014,0,45,0
60,50673.37544,9,34,693.3857862,36111.44956,36,9.632548479,0.2682785645,3366.806647,10323.05586,15614.63357,0,4,3,1,0.2343058195,3,87,16,4.554546853,0.5431167526,3,27,0
26,76653.40223,19,6,613.0100782,23960.44416,48,11.11336012,0.2895745805,851.8228866,12511.18153,15735.63572,0,18,5,2,0.2876604403,4,58,93,7.23807856,0.2442947063,0,86,0
43,41472.08222,10,25,599.1275792,14068.28035,24,8.232742212,0.3039210401,2824.085404,0,8022.321015,2,25,5,3,0.1286232656,3,100,59,1.984061454,0.4200821577,0,40,0
46,74764.51975,9,24,781.8071817,24767.97433,48,14.05228638,0.6444297701,2533.46882,15847.68718,3914.332382,2,11,5,1,0.08275077572,5,11,72,11.81904527,0.2556041888,1,41,0
